Title,Location,Price,Area,Room
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
Apartment Hereweg 30 4,9725 AD Groningen (Herewegbuurt),"€1,350 per month",113 m²,113 m²
Apartment de Koppele,5632 LN Eindhoven (Vaartbroek),"€1,200 per month",88 m²,88 m²
Apartment St Bonifaciuslaan,5643 NB Eindhoven (Burghplan),€950 per month,65 m²,65 m²
Apartment Geijsterseweg,5861 BK Wanssum (Wanssum),€725 per month,50 m²,50 m²
Apartment Koestraat,1012 BX Amsterdam (Burgwallen-Oude Zijde),"€1,550 per month",68 m²,68 m²
Apartment Hollandiagracht,1087 ND Amsterdam (IJburg Zuid),"€1,501 per month",108 m²,108 m²
Apartment Nicolaas Maesstraat 101 2,1071 PV Amsterdam (Museumkwartier),"€4,750 per month",193 m²,193 m²
House Kudelstaartseweg,1433 GP Kudelstaart (Kudelstaart),"€3,000 per month",170 m²,170 m²
Room Lambertus Zijlplein,1067 JS Amsterdam (Geuzenveld),€800 per month,15 m²,15 m²
Room Lambertus Zijlplein,1067 JS Amsterdam (Geuzenveld),€800 per month,16 m²,16 m²
Apartment Populier 101,8446 ST Heerenveen (De Greiden),€795 per month,64 m²,64 m²
Apartment Carry van Bruggenhof 34,4103 VJ Culemborg (Verspreide huizen ten westen en zuiden van Culemborg),€975 per month,60 m²,60 m²
Apartment Juliana van Stolberglaan 84,2595 CL Den Haag (Bezuidenhout-Midden),€800 per month,45 m²,45 m²
Apartment Rosa Spierlaan 84,1187 PE Amstelveen (Betsy Perkbuurt),"€1,500 per month",75 m²,75 m²
Apartment Nieuwe Leliestraat 55 A,1015 SJ Amsterdam (Jordaan),"€1,950 per month",70 m²,70 m²
House Celsiusstraat,2562 TC Den Haag (Valkenboskwartier),"€1,350 per month",60 m²,60 m²
Apartment Titaniastraat,5702 HJ Helmond (Eeuwsels),"€1,250 per month",140 m²,140 m²
Apartment Prins Hendrikstraat 34,2316 CP Leiden (Noorderkwartier),"€1,100 per month",49 m²,49 m²
House Jacob van Campenplein,3067 LA Rotterdam (Het Lage Land),"€1,500 per month",126 m²,126 m²
Apartment Rozenburglaan,3062 EJ Rotterdam (Kralingen Oost),"€2,650 per month",165 m²,165 m²
Apartment Van Slingelandtstraat,2582 XS Den Haag (Statenkwartier),"€2,150 per month",100 m²,100 m²
Apartment Wilhelminastraat 8 x,5141 HK Waalwijk (Centrum),€625 per month,45 m²,45 m²
Apartment Camera Obscuralaan,1183 KH Amstelveen (Boekenbuurt),"€1,550 per month",75 m²,75 m²
Room Prinses Julianastraat,8019 AX Zwolle (Veerallee),€465 per month,16 m²,16 m²
House Van Kretschmar van Veenlaan 84,1222 NB Hilversum (Noord),"€1,900 per month",115 m²,115 m²
Apartment Herenstraat,2282 BV Rijswijk (Oud-Rijswijk),"€1,650 per month",85 m²,85 m²
Apartment Kinkerstraat,1053 DZ Amsterdam (Da Costabuurt),"€1,400 per month",37 m²,37 m²
Apartment Vliethof 39,2291 RZ Wateringen (Kwintsheul-Oost),"€1,070 per month",68 m²,68 m²
Apartment Bartóklaan,"3533 JA Utrecht (Welgelegen, Den Hommel)","€1,650 per month",91 m²,91 m²
Apartment Riouwstraat 168 A,2585 HW Den Haag (Archipelbuurt),"€2,200 per month",125 m²,125 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
Apartment Peppelweg,3052 GL Rotterdam (Schiebroek),"€1,250 per month",86 m²,86 m²
Apartment Mgr. Nolenslaan 12 S,2555 XZ Den Haag (Rosenburg),"€2,000 per month",85 m²,85 m²
Apartment Damplein,4331 GC Middelburg (Abdij),"€1,100 per month",85 m²,85 m²
Apartment Nieuweweg 26 D,6301 ET Valkenburg (Valkenburg),€500 per month,55 m²,55 m²
House Wolzakstraat,4611 RN Bergen op Zoom (Centrum),€925 per month,85 m²,85 m²
Apartment Oude Torenstraat 57 B,1211 BV Hilversum (Centrum),"€2,595 per month",200 m²,200 m²
Apartment Van Slingelandtstraat,2582 XS Den Haag (Statenkwartier),"€2,250 per month",100 m²,100 m²
Apartment Dinsdagse Wetering 7,2215 EN Voorhout (De Knip),€875 per month,48 m²,48 m²
Apartment Dinsdagse Wetering 9 a,2215 EN Voorhout (De Knip),€975 per month,82 m²,82 m²
Apartment Prinsengracht,1015 DR Amsterdam (Grachtengordel-West),"€2,250 per month",90 m²,90 m²
Apartment Beekpoort 74,6001 HA Weert (Weert-Centrum),€800 per month,57 m²,57 m²
Apartment Poseidonsingel,1363 TR Almere (Homeruskwartier),"€1,375 per month",90 m²,90 m²
Apartment Mariadistelkade,1031 JW Amsterdam (Noordelijke IJ-oevers West),"€2,000 per month",80 m²,80 m²
Apartment Jacob Catsstraat,3035 PS Rotterdam (Oude Noorden),€765 per month,45 m²,45 m²
Apartment Brigantijnstraat,3028 HG Rotterdam (Oud Mathenesse),€875 per month,51 m²,51 m²
Apartment Geuzenstraat,3023 PG Rotterdam (Nieuwe Westen),"€1,450 per month",100 m²,100 m²
Apartment Bergstraat,3035 TE Rotterdam (Oude Noorden),€750 per month,42 m²,42 m²
Apartment Nieuwe Gracht,2011 NJ Haarlem (Stationsbuurt),"€4,800 per month",211 m²,211 m²
Apartment Daniël Stalpertstraat,1072 XK Amsterdam (Oude Pijp),"€2,000 per month",80 m²,80 m²
Apartment Brouwersgracht,1015 GK Amsterdam (Jordaan),"€2,950 per month",125 m²,125 m²
Apartment Kerkstraat 51 1,1017 GN Amsterdam (Grachtengordel-Zuid),"€1,800 per month",72 m²,72 m²
Apartment Amsterdamsestraatweg,3513 AK Utrecht (Pijlsweerd-Zuid),€645 per month,23 m²,23 m²
Apartment De Genestetlaan,2522 LV Den Haag (Laakkwartier-Oost),"€1,225 per month",80 m²,80 m²
Apartment Dierenselaan,2573 KL Den Haag (Oostbroek-Zuid),"€1,200 per month",116 m²,116 m²
Apartment Diamantlaan,9743 BA Groningen (Vinkhuizen-Zuid),"€1,550 per month",95 m²,95 m²
House Voorhoutstraat 8,2012 JD Haarlem (Welgelegen),"€3,250 per month",178 m²,178 m²
Apartment Schoonhoeve,5611 PW Eindhoven (Rochusbuurt),"€1,325 per month",85 m²,85 m²
Apartment van Speijkstraat,2202 GK Noordwijk (Dorpskern),"€1,650 per month",112 m²,112 m²
Studio Schiekade,3033 BD Rotterdam (Agniesebuurt),€730 per month,18 m²,18 m²
Apartment Johannes Geradtsweg,1222 PW Hilversum (Noord),"€1,345 per month",79 m²,79 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
Apartment Plaats,2513 AD Den Haag (Voorhout),"€1,295 per month",52 m²,52 m²
Room Sophiaplein,7311 PA Apeldoorn (De Haven),€415 per month,19 m²,19 m²
Apartment Van Beuningenstraat,3039 WB Rotterdam (Blijdorp),"€1,595 per month",100 m²,100 m²
Apartment Mauritskade 77 II,2514 HH Den Haag (Voorhout),"€1,075 per month",70 m²,70 m²
Apartment Herengracht 19 F,2511 EG Den Haag (Uilebomen),"€1,500 per month",73 m²,73 m²
Apartment Dijkmeent,1357 ED Almere (De Meenten),"€1,175 per month",70 m²,70 m²
Apartment Cornelis Bloemaertsingel,3067 NK Rotterdam (Het Lage Land),"€1,250 per month",88 m²,88 m²
Apartment William Barlowlaan,1086 ZR Amsterdam (IJburg West),"€3,500 per month",216 m²,216 m²
Studio Groeneweg,8012 AP Zwolle (Oud-Assendorp),€550 per month,27 m²,27 m²
Apartment Anna van Eekerenstraat,5701 TS Helmond (Centrum),€950 per month,62 m²,62 m²
Apartment Silodam 142,1013 AS Amsterdam (Houthavens),"€2,500 per month",85 m²,85 m²
Studio Triangelstraat,6544 VJ Nijmegen (Neerbosch-Oost),€525 per month,26 m²,26 m²
Apartment Mathenesserdijk 281 A,3026 GA Rotterdam (Tussendijken),"€1,100 per month",48 m²,48 m²
Apartment Kolhornseweg 30,1214 NB Hilversum (Bloemenkwartier Zuid),"€1,250 per month",65 m²,65 m²
Apartment Keizersgracht,1017 DM Amsterdam (Grachtengordel-Zuid),€350 per month,112 m²,112 m²
Studio Wierdensestraat,7607 GG Almelo (Binnenstad-Noord),€690 per month,30 m²,30 m²
Studio Larenseweg,1222 HL Hilversum (Erfgooiersbuurt),€480 per month,19 m²,19 m²
Apartment Pieter Meinersstraat 11,2597 VK Den Haag (Uilennest),"€1,600 per month",95 m²,95 m²
Apartment Beethovengaarde 235,5344 CR Oss (Beethovengaarde en Lisztgaarde),€925 per month,85 m²,85 m²
Apartment Olympiaweg,1076 XD Amsterdam (Stadionbuurt),"€1,750 per month",47 m²,47 m²
Apartment Damasstraat,2522 TZ Den Haag (Laakkwartier-Oost),"€1,175 per month",69 m²,69 m²
Apartment Graaf Hendrik III laan,4819 CH Breda (Boeimeer),"€2,100 per month",165 m²,165 m²
Apartment Steenvoordelaan 60,2284 CX Rijswijk (Kleurenbuurt),€895 per month,76 m²,76 m²
Apartment Weteringschans,1017 RW Amsterdam (De Weteringschans),"€1,750 per month",70 m²,70 m²
Apartment Hogeweg,1098 CC Amsterdam (Middenmeer),"€1,750 per month",75 m²,75 m²
House Duinweg,2202 ZN Noordwijk (Boerenburg en Grashoek),"€2,650 per month",185 m²,185 m²
Apartment Tuinderspad 35,1813 CX Alkmaar (Oosterhout),"€1,250 per month",70 m²,70 m²
Apartment Singel,1017 AX Amsterdam (Grachtengordel-Zuid),"€1,950 per month",82 m²,82 m²
Apartment Schalkwijkerstraat 63,2033 JD Haarlem (Karolingenbuurt),"€1,400 per month",77 m²,77 m²
Apartment Wolphaertsbocht,3083 ML Rotterdam (Carnisse),"€1,195 per month",95 m²,95 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Pleinweg,3081 JP Rotterdam (Tarwewijk),€695 per month,66 m²,66 m²
Studio Poststraat,5038 DG Tilburg (Binnenstad Oost),€775 per month,30 m²,30 m²
Apartment Hudsonstraat,1057 ST Amsterdam (Hoofdweg e.o.),"€1,450 per month",45 m²,45 m²
Apartment Asselsestraat,7311 EL Apeldoorn (Binnenstad),€995 per month,62 m²,62 m²
Apartment 2e Van Blankenburgstraat 111 A,2517 HC Den Haag (Sweelinckplein en omgeving),"€1,195 per month",46 m²,46 m²
Apartment Venenstraat,7416 BH Deventer (Rielerweg-West),€575 per month,35 m²,35 m²
Apartment Medusastraat,2315 GS Leiden (De Kooi),"€1,175 per month",46 m²,46 m²
Apartment Generaal Winkelmanlaan 18,2243 AZ Wassenaar (Drie Papegaaien),"€3,900 per month",200 m²,200 m²
Apartment Sonsbeekweg,6814 BA Arnhem (Transvaalbuurt),"€1,375 per month",75 m²,75 m²
Apartment Heelsumstraat,2573 NL Den Haag (Oostbroek-Noord),"€1,275 per month",89 m²,89 m²
Room 1e Middellandstraat,3021 BG Rotterdam (Middelland),€650 per month,25 m²,25 m²
Apartment Schubertlaan 123,3055 HP Rotterdam (Molenlaankwartier),€995 per month,90 m²,90 m²
Apartment Unescostraat 70 A,6414 NX Heerlen (Vrieheide),€610 per month,64 m²,64 m²
House Tweede E.J. Potgieterstraat,2802 VA Gouda (De Korte Akkeren Nieuw),"€1,295 per month",76 m²,76 m²
Apartment Petrus Dondersstraat,5613 LV Eindhoven (Tuindorp),"€1,450 per month",95 m²,95 m²
Apartment Oudegracht,3511 AN Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,595 per month",65 m²,65 m²
House Eendrachtstraat,3134 GM Vlaardingen (Oostbuurt),"€1,400 per month",54 m²,54 m²
House Schout van Heeckerenring 32,6413 VC Heerlen (Beersdal),€945 per month,95 m²,95 m²
Apartment Hereweg 85 a,9725 AC Groningen (Rivierenbuurt),"€1,250 per month",60 m²,60 m²
Apartment Catsheuvel,2517 JZ Den Haag (Zorgvliet),"€2,000 per month",75 m²,75 m²
House Oud-Valkenburg,6305 AB Schin op Geul (Oud-Valkenburg),"€1,650 per month",191 m²,191 m²
